30/03/2022 01:17:36.510 | INFO | main.py | on_message | `kill` called by MUIArun
30/03/2022 01:17:36.511 | DEBUG | main.py | get_uptime | Calculated uptime
30/03/2022 01:17:36.727 | DEBUG | main.py | on_message | Message sent by MR Bill
30/03/2022 01:17:36.761 | INFO | main.py | on_disconnect | Bot disconnected
30/03/2022 01:18:20.202 | DEBUG | main.py | on_ready | Connected!
30/03/2022 01:18:20.202 | INFO | main.py | on_ready | MR Bill is ready (finished on_ready)
30/03/2022 01:18:20.203 | INFO | main.py | on_ready | MR Bill is ready (commencing on_ready)
30/03/2022 01:18:20.203 | INFO | main.py | on_ready | MR Bill is connected to the following guilds:
30/03/2022 01:18:20.203 | INFO | main.py | on_ready |     Arun Testing Co. (ID: 834213187468394517)
30/03/2022 01:18:20.203 | INFO | main.py | on_ready |     Arun Shipping Co. (ID: 870789318501871706)
30/03/2022 01:18:23.840 | DEBUG | main.py | on_message | Message sent by MUIArun
30/03/2022 01:18:46.116 | DEBUG | main.py | on_message | Message sent by MUIArun
30/03/2022 01:18:46.277 | DEBUG | main.py | on_ready | Connected!
30/03/2022 01:18:46.278 | INFO | main.py | on_ready | MR Bill is ready (finished on_ready)
30/03/2022 01:18:46.278 | INFO | main.py | on_ready | MR Bill is ready (commencing on_ready)
30/03/2022 01:18:46.278 | INFO | main.py | on_ready | MR Bill is connected to the following guilds:
30/03/2022 01:18:46.278 | INFO | main.py | on_ready |     Arun Testing Co. (ID: 834213187468394517)
30/03/2022 01:18:46.279 | INFO | main.py | on_ready |     Arun Shipping Co. (ID: 870789318501871706)
30/03/2022 01:18:48.464 | DEBUG | main.py | on_message | Message sent by MUIArun
30/03/2022 01:18:48.464 | INFO | main.py | on_message | `locate` called by MUIArun
30/03/2022 01:18:48.465 | DEBUG | main.py | get_uptime | Calculated uptime
30/03/2022 01:18:48.627 | DEBUG | main.py | on_message | Message sent by MR Bill
30/03/2022 01:19:53.547 | DEBUG | main.py | on_ready | Connected!
30/03/2022 01:19:53.547 | INFO | main.py | on_ready | MR Bill is ready (finished on_ready)
30/03/2022 01:19:53.547 | INFO | main.py | on_ready | MR Bill is ready (commencing on_ready)
30/03/2022 01:19:53.547 | INFO | main.py | on_ready | MR Bill is connected to the following guilds:
30/03/2022 01:19:53.548 | INFO | main.py | on_ready |     Arun Testing Co. (ID: 834213187468394517)
30/03/2022 01:19:53.548 | INFO | main.py | on_ready |     Arun Shipping Co. (ID: 870789318501871706)
30/03/2022 01:19:54.462 | DEBUG | main.py | on_message | Message sent by MUIArun
30/03/2022 01:24:25.281 | DEBUG | main.py | on_ready | Connected!
30/03/2022 01:24:25.281 | INFO | main.py | on_ready | MR Bill is ready (finished on_ready)
30/03/2022 01:24:25.281 | INFO | main.py | on_ready | MR Bill is ready (commencing on_ready)
30/03/2022 01:24:25.281 | INFO | main.py | on_ready | MR Bill is connected to the following guilds:
30/03/2022 01:24:25.281 | INFO | main.py | on_ready |     Arun Testing Co. (ID: 834213187468394517)
30/03/2022 01:24:25.281 | INFO | main.py | on_ready |     Arun Shipping Co. (ID: 870789318501871706)
30/03/2022 01:24:27.187 | DEBUG | main.py | on_message | Message sent by MUIArun
30/03/2022 01:26:36.940 | DEBUG | main.py | on_ready | Connected!
30/03/2022 01:26:36.940 | INFO | main.py | on_ready | MR Bill is ready (finished on_ready)
30/03/2022 01:26:36.940 | INFO | main.py | on_ready | MR Bill is ready (commencing on_ready)
30/03/2022 01:26:36.940 | INFO | main.py | on_ready | MR Bill is connected to the following guilds:
30/03/2022 01:26:36.940 | INFO | main.py | on_ready |     Arun Testing Co. (ID: 834213187468394517)
30/03/2022 01:26:36.940 | INFO | main.py | on_ready |     Arun Shipping Co. (ID: 870789318501871706)
30/03/2022 01:26:38.402 | DEBUG | main.py | on_message | Message sent by MUIArun
